Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-12,1.3183,1.3217,1.3175,1.3184,0,0,0
2019-09-13,1.321,1.327,1.321,1.3211,0,0,0
2019-09-16,1.3214,1.327,1.3213,1.3213,0,0,0
2019-09-17,1.324,1.3295,1.3237,1.3241,0,0,0
2019-09-18,1.3242,1.3284,1.324,1.3239,0,0,0
2019-09-19,1.3298,1.3307,1.3248,1.3294,0,0,0
2019-09-20,1.3261,1.33,1.3256,1.3257,0,0,0
2019-09-23,1.3267,1.3304,1.3262,1.3266,0,0,0
2019-09-24,1.3261,1.3273,1.3245,1.3261,0,0,0
2019-09-25,1.3241,1.3287,1.3236,1.3241,0,0,0
2019-09-26,1.3259,1.3272,1.3233,1.3257,0,0,0
2019-09-27,1.3269,1.3277,1.3214,1.3268,0,0,0
2019-09-30,1.3237,1.3258,1.3222,1.3235,0,0,0
2019-10-01,1.3242,1.3289,1.3231,1.3242,0,0,0
2019-10-02,1.3217,1.3313,1.3203,1.3217,0,0,0
2019-10-03,1.3328,1.3347,1.331,1.3328,0,0,0
2019-10-04,1.3338,1.3338,1.3298,1.3337,0,0,0
2019-10-07,1.3304,1.333,1.3287,1.3306,0,0,0
2019-10-08,1.3303,1.3335,1.3286,1.3302,0,0,0
2019-10-09,1.332,1.3331,1.3295,1.3321,0,0,0
2019-10-10,1.3333,1.3344,1.327,1.3335,0,0,0
2019-10-11,1.3287,1.3299,1.3171,1.3286,0,0,0
2019-10-14,1.3202,1.3233,1.3199,1.3199,0,0,0
2019-10-15,1.3224,1.3238,1.3197,1.3224,0,0,0
2019-10-16,1.3205,1.3227,1.3183,1.3202,0,0,0
2019-10-17,1.3203,1.3211,1.313,1.32,0,0,0
2019-10-18,1.3136,1.3143,1.3127,1.3136,0,0,0
2019-10-21,1.3132,1.3136,1.3096,1.3132,0,0,0
2019-10-22,1.3085,1.3122,1.307,1.3087,0,0,0
2019-10-23,1.3094,1.3109,1.3084,1.3094,0,0,0
2019-10-24,1.3075,1.3092,1.3051,1.3073,0,0,0
2019-10-25,1.3071,1.3077,1.3056,1.3071,0,0,0
2019-10-28,1.3064,1.3078,1.3048,1.3063,0,0,0
2019-10-29,1.3055,1.3079,1.3042,1.3056,0,0,0
2019-10-30,1.3089,1.3184,1.3073,1.3089,0,0,0
2019-10-31,1.3163,1.3177,1.3137,1.3165,0,0,0
2019-11-01,1.3168,1.3194,1.314,1.3168,0,0,0
2019-11-04,1.3139,1.316,1.3127,1.314,0,0,0
2019-11-05,1.3153,1.3177,1.3114,1.3152,0,0,0
2019-11-06,1.3153,1.319,1.3152,1.3151,0,0,0
